fips,Adult smoking percentage,Adult obesity percentage,Excessive drinking percentage
12065,20,34,17
12067,22,33,18
12069,17,30,17
12071,14,26,17
12073,17,31,19
12075,24,32,17
12077,24,39,17
12079,21,35,14
12081,15,27,19
12083,19,30,17
12085,14,19,18
12086,16,22,16
12087,17,22,21
12089,19,28,21
12091,18,27,19
12093,21,33,17
12095,16,25,17
12097,18,30,16
12099,16,21,15
12101,19,32,18
12103,16,25,21
12105,19,37,17
12107,24,39,16
12109,15,23,22
12111,18,30,16
12113,19,30,19
12115,15,21,18
12117,16,27,18
12119,12,29,13
12121,23,38,16
12123,24,35,18
12125,23,37,17
12127,18,30,16
12129,19,40,20
12131,21,32,17
12133,23,38,16
13001,20,39,14
13003,22,35,14
13005,19,37,15
13007,17,35,13
13009,20,37,14
13011,18,34,16
13013,17,38,17
13015,19,31,18
13017,21,40,13
13019,20,39,16
13021,19,37,13
13023,18,43,15
13025,20,33,15
13027,19,33,13
13029,17,35,18
13031,19,30,17
13033,21,35,13
13035,19,34,15
13037,24,27,13
13039,17,39,18
13043,22,50,13
13045,18,40,16
13047,15,39,17
13049,19,35,16
13051,17,32,17
13053,18,35,23
13055,19,30,15
13057,15,27,19
13059,20,24,16
13061,24,36,9
13063,19,37,13
13065,24,52,13
13067,13,29,17
13069,20,35,15
13071,21,38,14
13073,14,32,18
13075,20,30,14
13077,16,29,17
13079,18,46,15
13081,21,38,12
13083,16,41,17
13085,15,28,17
13087,19,27,14
13089,16,26,16
13091,19,34,15
13093,20,38,13
13095,22,37,12
13097,17,31,15
13099,21,44,12
13101,19,28,16
13103,16,40,17
13105,18,40,14
13107,21,28,14
13109,19,31,14
13111,16,26,14
13113,13,29,16
13115,17,38,15
13117,13,27,18
13119,18,33,15
13121,15,25,20
13123,16,24,15
13125,17,26,16
13127,16,33,14
13129,18,30,17
13131,19,34,14
13133,17,33,12
13135,14,30,15
13137,16,26,16
13139,16,33,16
13141,22,32,12
13143,18,23,16
13145,14,36,17
13147,18,33,14
13149,18,38,16
13151,16,36,14
13153,17,40,15
13155,20,40,15
13157,16,30,18
13159,19,38,15
13161,19,31,15
13163,20,29,13
13165,22,35,14
13167,18,42,15
13169,16,35,16
13171,18,32,15
13173,20,38,16
13175,20,42,13
13177,16,44,17
13179,19,38,17
13181,17,24,14
13183,20,34,17
13185,20,38,15
13187,17,35,17
13189,19,24,14
13191,17,30,14
13193,22,32,13
13195,17,34,16
13197,19,33,13
13199,18,33,13
13201,18,24,14
13205,20,35,13
13207,16,36,16
13209,17,40,16
13211,15,35,16
13213,18,34,17
13215,20,39,15
13217,17,39,15
13219,14,24,18
13221,17,35,16
13223,16,34,20
13225,18,37,14
13227,15,29,17
13229,18,36,16
13231,15,34,18
13233,18,38,16
13235,18,42,13
13237,16,34,15
13239,18,29,11
13241,17,32,14
13243,21,36,11
13245,20,36,14
