,deaths
657,0.0
1331,0.0
597,0.019618614141097074
1753,0.07484096295372333
1205,0.04672169444011836
2888,0.023949227637408695
2927,0.0
570,0.24264143195774307
632,0.32037279743701763
2550,0.04972650422675286
2283,0.0
2080,0.025801124929046907
1255,0.0
2454,0.0
2963,0.025983924611973394
2033,0.0
2884,0.04698364968990791
2724,0.07074637424831977
2711,0.0
1887,0.0
123,0.0
2383,0.123634865031939
2118,0.05917089738582975
310,0.1018179125476693
1261,0.0
2239,0.33696506795462206
942,0.08075587498990551
1735,0.1881561947291178
1826,0.025311970030627483
212,0.007292483272866493
457,0.0
1778,0.038868159203980096
371,0.17881090746535538
2957,0.11509466536226046
386,0.7026825941388005
1033,0.0
1277,0.0
1102,0.5501509040684047
649,0.04599604434018675
2478,0.07924558205880022
319,0.021789340654551792
1607,0.0
1659,1.5596749518189585
2843,0.0
2142,0.013522284725227174
2940,0.0
1011,0.0
2270,0.0
346,0.024123240812663736
715,0.021622556651098426
1849,0.10547838504478775
2752,0.0
1739,0.0
2690,0.0
1828,0.14555334530105282
762,0.03899851805631386
1899,0.06549646319098769
2301,0.0
1168,0.9583378225884194
1472,0.0
574,0.13974287311347122
349,0.04347944237615153
1333,0.0
537,0.0
972,0.0
2396,0.0
2121,0.6072307903962655
486,0.43878894251864853
1112,1.1352026336701102
153,0.0
17,0.0
692,0.2881582140257219
2538,0.0
271,0.0
2280,0.0
891,0.0
847,0.0
1020,0.19496977968414897
1827,0.011116422290649977
826,0.0
2450,0.0
752,0.3356401937123404
1641,0.08455684526097318
1610,0.0
1856,0.0
560,0.0
1213,0.3408006543372563
505,0.14788888615020582
229,0.0
1407,0.0
1021,0.0
1219,0.8196543276491011
1114,0.45278137128072443
1687,0.0
306,0.13683466068079086
843,0.0
1319,0.010412761880961307
2829,0.0
1018,0.0
2421,0.0
1818,0.012915780500615653
1561,0.0
1122,0.0
2880,0.0
2351,0.0
1603,0.0
639,0.0
2568,0.039276526384006596
5,0.09863878477017163
253,0.0
200,0.0
1696,0.013079418227477243
2703,0.01819074818547287
795,0.0
1060,0.19693568080664856
1212,0.0
1774,0.0
2656,0.0
1045,0.015236470014627012
2712,0.3925307015084394
1772,0.15039855617386072
1713,0.1679386464145099
2025,0.0
2787,0.4425757911042266
1240,0.0
2938,0.0
300,0.5096411869799489
2352,0.0
1393,0.2527614184970806
204,0.0635475268730058
1540,0.0
2236,0.25360796963044563
2622,0.0
480,0.09380863039399624
1485,0.0
2650,0.0
1148,0.4151754710151468
490,0.07726781023025807
1346,0.5823772639916137
163,0.0
676,0.03821169277799007
12,0.04180602006688963
1043,0.0
830,0.0
2111,0.007351292541011023
799,0.04983305925150745
1239,0.0
2526,0.0
814,0.0
2047,0.1360914534567229
99,0.0
185,0.024532652961091212
1715,0.04211324250910699
647,0.12797673894792883
623,0.0
2114,0.08396034488326283
1180,0.09622508972989617
2569,0.0695337760317074
2319,0.0
906,0.0
146,0.0
1379,0.43853237830726505
2256,0.2231943576466387
1099,0.616209946353487
1642,0.023178193955127015
1792,0.09980869999168261
864,0.0
1292,0.1811922449719152
1463,0.0
189,0.01268456035313816
746,0.0
1821,0.23283365405027837
2320,0.0
2300,0.0
2723,0.27078256160303277
2011,0.0
2381,0.0
389,0.0
2436,0.0
282,0.07973527887413787
1823,0.12613839905143923
827,0.0
1894,0.0
653,0.03022791850553171
1280,0.0
1250,0.2237419904410952
348,0.02535047025122316
74,0.009292816652727442
2264,0.18294914013904134
455,0.021130480718436345
2092,0.42603629162779183
887,0.0
1609,0.0
347,0.0
2740,0.1678493831535169
1573,0.0
2017,0.020008003201280513
965,0.039563222028802025
1892,0.0
731,0.0
2023,0.0973070280000973
1311,0.08905690554515548
1220,0.0
195,0.013774294411768757
1908,0.3798762966931281
2058,0.0
1660,0.2875077866692223
1587,0.0
2660,0.1941873260405204
1662,0.9659159511076073
2043,0.08137358613394093
24,0.028017090425159347
2610,0.01737460961424023
757,0.029347889886717146
608,0.04680333239726669
619,0.0
289,0.607362335805114
974,0.11942199753194538
415,1.4247668314281643
732,0.1323486593080812
482,0.10733068584308254
2314,0.0
2344,0.0
1596,0.0
888,0.0
727,0.0
1188,0.0
977,0.0
1673,0.017271157167530225
2904,0.0
1323,0.0
2242,0.0
2722,0.1220802474159681
8,0.6544697307749516
923,0.038940279240742434
1357,0.041237113402061855
433,0.16162922256343948
2668,0.030084235860409144
545,0.0
1850,0.014586402555537727
2356,0.023872045834328
367,0.028021015761821366
2872,0.017602224921230043
1555,0.0
1443,0.013021511537059221
221,0.11591440365259165
498,0.15943877551020408
353,0.05084681126934827
767,0.0
2925,0.0
526,0.1012555690562981
1162,0.8904201417083418
1093,0.0
65,0.4704996706502306
481,0.20630254267883852
244,0.1454730602076628
133,0.24339783375927954
1616,0.0
1914,0.019528770761524417
551,0.0
970,0.0
468,0.0
2598,0.0
94,0.0
996,0.032965765052992466
1969,0.1830052694752593
1650,1.8392856919577827
2090,0.4734676038897185
2813,0.03557705991176889
1604,0.0
1464,0.0986733990592806
2433,0.0
907,0.0
1286,0.0
108,0.0
4,0.0
510,1.5166835187057635
2523,0.0275072894316994
1432,0.021826912583215105
2261,0.051676915921657796
120,0.0
1952,0.028480291638186377
898,0.05986948452373825
1471,0.0
562,0.0
2864,0.0
1363,1.0781977074111906
218,0.020659663040895802
1927,0.0
1345,0.4035919685198265
1905,0.022290745625441172
1245,0.17572817361943555
810,0.0
322,0.0
563,0.0
1784,0.06796248470844093
580,0.34538643428358884
158,0.0
1903,0.07385251652450057
1244,0.2786250586579071
1109,0.04093327875562833
2076,0.06528058333743902
2249,0.02185601258906325
820,0.0
1229,0.0
422,0.0
178,0.0
2958,0.07969153246816936
1010,0.0306063110213326
69,0.020207939699507935
293,0.32467317338210055
1825,0.14900908955446282
1211,0.07188896672611528
728,0.0
1058,0.1729763729999607
1424,0.061274509803921566
724,1.0262199189286263
644,0.0
654,0.059378896740098566
884,0.0
1352,0.03503485968538696
1134,0.23436238674654664
2849,0.003491388490288703
36,0.09707265281359018
1788,0.2960331557134399
2793,0.0
1904,0.051607575992155645
1544,0.0
2756,0.0
2867,0.04283205551034394
1314,0.0
765,0.20042490078967412
1832,0.022053148086889404
1179,0.016351357980280264
2101,0.3773613819471847
2466,0.0
2751,0.0
1538,0.008418146155853557
35,0.03865780114427091
1419,0.0
1455,0.04588839941262849
899,0.08368200836820083
1811,0.1323276432446738
825,0.0
1025,0.0
1070,0.02990162365816464
1504,0.1252561488243458
1912,0.2922666250998578
67,0.013720338343543552
690,0.049771053155484773
1663,1.6270447813613778
525,1.3617793917385383
2831,0.0
819,0.0
583,0.0
1008,0.0
1452,0.0
573,0.0
955,0.2095996646405366
1192,0.05577711464985916
1358,0.07360518180479905
2757,0.012176411854954583
2329,0.0
1615,0.048386316349736294
531,0.011223573585829727
142,0.0
2936,0.1004193986650127
1536,0.11405109489051095
84,0.4060089321965083
1647,0.4851324648278963
1605,0.005421258924747505
2877,0.03565253043834786
1160,0.5106183801341082
10,0.02264851765451951
2627,0.02759381898454746
1842,0.0
990,0.0
981,0.0
2844,0.10919925744504938
2735,0.0
527,0.33200531208499334
1948,0.26359887782192015
2551,0.0
1728,0.15807400895175278
1176,0.0
73,0.0
2067,0.0
2909,0.0
905,0.0
2961,0.0
1088,0.6834686031610423
564,0.1277866195792335
779,0.021497054903478224
2875,0.0
2839,0.04746985664103295
1698,0.0
501,0.24878716258241074
1817,0.03190946221919673
262,0.0
544,0.04190412336573919
524,0.05765793469277931
1930,0.035229874933943986
2673,0.0
1438,0.0
