,Active.Physicians.per.100.000.Population..2018..AAMC.,Total.Active.Patient.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.Primary.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.Patient.Care.Primary.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.General.Surgeons.per.100.000.Population..2018..AAMC.,Active.Patient.Care.General.Surgeons.per.100.000.Population..2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.Female..2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.International.Medical.Graduates..IMGs...2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.Age.60.or.Older..2018..AAMC.,MD.and.DO.Student.Enrollment.per.100.000.Population..AY.2018.2019..AAMC.,Student.Enrollment.at.Public.MD.and.DO.Schools.per.100.000.Population..AY.2018.2019..AAMC.,Percentage.Change.in.Student.Enrollment.at.MD.and.DO.Schools..2008.2018..AAMC.,Percentage.of.MD.Students.Matriculating.In.State..AY.2018.2019..AAMC.,Total.Residents.Fellows.in.ACGME.Programs.per.100.000.Population.as.of.December.31..2018..AAMC.,Total.Residents.Fellows.in.Primary.Care.ACGME.Programs.per.100.000.Population.as.of.Dec..31..2018..AAMC.,Percentage.of.Residents.in.ACGME.Programs.Who.Are.IMGs.as.of.December.31..2018..AAMC.,Ratio.of.Residents.and.Fellows..GME..to.Medical.Students..UME...AY.2017.2018..AAMC.,Percent.Change.in.Residents.and.Fellows.in.ACGME.Accredited.Programs..2008.2018..AAMC.,Percentage.of.Physicians.Retained.in.State.from.Undergraduate.Medical.Education..UME...2018..AAMC.,All.Specialties..AAMC.,State.Local.Government.hospital.beds.per.1000.people..2019.,Non.profit.hospital.beds.per.1000.people..2019.,For.profit.hospital.beds.per.1000.people..2019.,Total.hospital.beds.per.1000.people..2019.,Total.nurse.practitioners..2019.,Total.physician.assistants..2019.,Total.Hospitals..2019.,Total.Primary.Care.Physicians..2019.,Surgery.specialists..2019.,Emergency.Medicine.specialists..2019.,Total.Specialist.Physicians..2019.,ICU.Beds,Length.of.Life.rank,Quality.of.Life.rank,Health.Behaviors.rank,Clinical.Care.rank,Social...Economic.Factors.rank,Physical.Environment.rank,Adult.smoking.percentage,Adult.obesity.percentage,Excessive.drinking.percentage,Population.per.sq.mile,House.per.sq.mile,Share.of.Tests.with.Positive.COVID.19.Results,Number.of.Tests.with.Results.per.1.000.Population
111,207.6,188.2,79.9,75.0,7.0,6.5,27.9,18.2,33.3,34.2,23.7,66.2,93.0,29.6,14.0,30.7,0.8,25.8,57.9,2.0757675049282414,0.3,2.2,0.7,3.2,0.43300457064426395,0.0693470921535032,0.029198775640671346,1.1656283958805431,0.12276757945061625,0.10849999585475044,1.206772125499733,0.6079699331233074,8.0,48.0,48.0,3.0,8.0,71.0,21.0,38.0,15.0,136.4,57.3,0.056874,24.3
684,230.8,212.0,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78.0,76.3,22.3,9.7,15.0,0.7,12.2,51.1,2.3084700587337017,0.4,1.9,0.4,2.7,0.5159986479501938,0.12627247539057912,0.019725404440267828,1.2119168939269354,0.12373208239163633,0.13673291713849406,1.3009800836367906,0.6108304945377657,5.0,11.0,5.0,7.0,7.0,25.0,17.0,30.0,19.0,98.0,40.7,0.16532,22.9
1146,386.0,306.1,116.2,97.6,9.6,7.5,41.0,26.8,34.1,32.6,22.8,2.9,27.1,48.3,14.9,23.2,1.5,2.6,21.9,3.859686982512159,0.45268662098809886,1.9,0.0,1.9,0.5532278685379769,0.38078890982561664,0.008274422205101549,1.8111055322466862,0.2098393471144445,0.16300611743338408,2.2724873145088424,0.049505563187663214,2.0,3.0,2.0,1.0,1.0,18.0,9.0,25.0,16.0,1144.9,435.8,0.20056,28.7
473,228.7,202.9,79.1,71.9,7.0,6.1,35.6,22.5,30.8,28.6,9.2,39.2,68.9,25.5,10.5,25.7,0.9,30.7,43.9,2.2866160146288923,0.3,1.8,0.3,2.4,0.4577224623631672,0.31627053630921065,0.013783957841737431,1.1905537110793818,0.1392655051727161,0.13166056291175068,1.2156500205405678,0.0,72.0,63.0,60.0,149.0,86.0,76.0,18.0,34.0,17.0,115.0,46.4,0.128994,25.8
2362,253.1,225.8,85.1,77.8,8.1,7.4,30.3,17.4,33.3,42.4,14.8,36.7,69.7,38.4,13.2,17.7,0.9,21.1,34.1,2.5307200436742088,0.5,1.6,0.8,2.9,0.8490386276696248,0.17607064101968437,0.01698668096145209,1.311076349951215,0.17326414579751892,0.12289494402886834,1.4923168503461415,0.3097461630194056,39.0,45.0,61.0,45.0,41.0,72.0,22.0,34.0,13.0,388.0,167.3,0.055886,42.9
2009,206.7,189.1,73.9,68.5,6.2,5.8,29.9,18.3,33.8,29.0,29.0,13.1,82.2,29.1,12.0,18.0,1.2,52.9,48.2,2.067166293021787,0.5,1.5,0.8,2.8,0.2868316866119356,0.32664828678560154,0.031701114777391855,1.219858897221345,0.11361679538995896,0.14760039043258605,1.1823247773918535,0.0,24.0,33.0,44.0,68.0,66.0,43.0,21.0,30.0,12.0,22.1,10.5,0.044462,27.6
2653,216.2,199.9,65.3,62.2,5.8,5.4,24.6,9.3,26.5,16.6,16.6,21.5,43.5,26.0,8.8,6.1,1.6,20.2,43.8,2.16158590052108,0.3,1.0,0.6,1.8,0.38182850611084795,0.25244337034580766,0.0170826340881099,0.9695976564661297,0.0999650438654666,0.13476300217906206,1.1692113991473234,0.11369019422074846,16.0,26.0,17.0,20.0,14.0,7.0,11.0,26.0,12.0,14.0,6.0,0.042223000000000004,48.9
331,265.2,240.7,86.8,80.1,6.9,6.0,30.7,35.9,36.1,27.0,14.4,53.2,58.2,28.9,11.6,31.2,1.1,84.0,48.0,2.6519150253596937,0.4,1.3,0.9,2.6,0.5803000799089122,0.2860654035814098,0.010188116281958391,1.286237944105165,0.13230466222958284,0.13746914514025463,1.3663813290549633,0.1449125349342718,57.0,46.0,53.0,44.0,55.0,67.0,23.0,37.0,16.0,54.2,22.9,0.071292,27.7
160,207.6,188.2,79.9,75.0,7.0,6.5,27.9,18.2,33.3,34.2,23.7,66.2,93.0,29.6,14.0,30.7,0.8,25.8,57.9,2.075767504521851,0.3,2.2,0.7,3.2,0.4330045706283914,0.06934709212906238,0.029198775657856356,1.1656283960557792,0.12276757938036058,0.10849999585740125,1.2067721249781203,0.0,17.0,39.0,27.0,74.0,46.0,13.0,20.0,33.0,13.0,30.2,12.2,0.056874,24.3
2625,224.8,199.9,72.9,66.5,6.2,5.4,35.2,25.9,27.9,28.3,24.3,55.2,84.9,29.9,10.1,20.8,1.1,23.1,59.7,2.2483920455559723,0.3,1.0,1.0,2.3,0.34492556132740676,0.20357576322319212,0.018221825112908117,1.0697570138702939,0.12114203807636695,0.11354670754565416,1.1810390587122226,0.0,169.0,34.0,42.0,128.0,72.0,133.0,14.0,26.0,18.0,62.4,27.1,0.072184,20.3
