fips,Population per sq mile,House per sq mile
8107,10,6.9
8109,1.9,1.2
8111,1.8,2
8113,5.7,5.2
8115,4.3,2.6
8117,46,49.1
8119,41.9,22.7
8121,1.9,1
8123,63.4,24.1
8125,4.2,1.9
9001,1467.2,578.1
9003,1216.2,509.1
9005,206.3,95.1
9007,448.6,202.6
9009,1426.7,598.8
9011,412.2,182
9013,372.2,141.3
9015,230.9,95.7
10001,276.9,111.5
10003,1263.2,510.2
10005,210.6,131.4
11001,9856.5,4860.4
12001,282.7,128.9
12003,46.3,16.6
12005,222.6,131.4
12007,97,37.5
12009,535,265.7
12011,1444.9,669.9
12013,25.8,10.6
12015,235.2,147.9
12017,242.8,134.1
12019,315.8,124.9
12021,160.9,98.7
12023,84.7,35.9
12027,54.7,22.9
12029,23.3,13.2
12031,1133.9,509.7
12033,453.4,208.2
12035,197.1,100.1
12037,21.6,16.2
12039,89.8,37.8
12041,48.4,20.9
12043,16,8.7
12045,28.1,16.2
12047,28.8,11.2
12049,43.5,15.2
12051,34,12.6
12053,365.6,178.8
12055,97.2,54.5
12057,1204.9,525.5
12059,41.6,18
12061,274.5,151.8
12063,54.2,22.9
12065,24.7,11.1
12067,16.3,6.1
12069,316.6,154.5
12071,788.7,473
12073,413.1,186.2
12075,36.5,18
12077,10,4
12079,27.6,12.2
12081,434.5,232.4
12083,209.1,103.5
12085,269.2,143.8
12086,1315.5,521.4
12087,74.3,53.7
12089,113,54
12091,194.4,99.3
12093,52,24.1
12095,1268.5,540
12097,202.4,96.6
12099,670.2,337.4
12101,622.2,306.5
12103,3347.5,1839.4
12105,334.9,156.4
12107,102.2,51.3
12109,316.4,149.6
12111,485.7,239.6
12113,149.6,64
12115,682.6,410.9
12117,1367,586.3
12119,170.8,97
12121,60.3,27.8
12123,21.6,10.5
12125,63.8,18.5
12127,449.2,230.9
12129,50.8,21.1
12131,53,43.5
12133,42.7,18.5
13001,36,16.8
13003,24.7,10.4
13005,42.9,18.6
13007,10.1,4.8
13009,177.3,78.2
13011,79.3,32.7
13013,432.7,164.7
13015,217.9,86.7
13017,70.5,31.8
13019,42.7,19.3
13021,622.8,278.9
13023,60.5,24.6
13025,41.6,18.3
13027,32.9,15.6
13029,69.3,27.2
13031,104.4,42.8
13033,28.2,11.9
13035,128.3,50.7
13037,23.9,8.6
13039,82.4,34.4
13043,45.3,19.6
13045,221.5,89.4
13047,394.3,164.1
13049,15.7,5.8
13051,621.7,279.8
13053,45.3,13.6
13055,83,35
13057,508.3,195.3
13059,979.1,428.4
13061,16.3,10.8
13063,1832.5,739.6
13065,8.5,3.8
13067,2026.4,843.7
13069,73.7,29.7
13071,83.6,33.7
13073,427.6,167.6
13075,75.8,32.1
13077,288.8,113.8
13079,38.9,16.3
13081,86,39.4
13083,95.6,42
13085,105.9,49.4
13087,46.6,20.3
13089,2585.7,1139.7
13091,44,19.9
13093,38.1,16.1
13095,287.7,124.1
13097,661.8,258.3
13099,21.5,9.7
13101,9.7,3.8
13103,109.4,41.6
13105,57.4,27.3
13107,33.2,14.6
13109,60.2,25.5
13111,61.2,41.9
13113,548.3,209.9
13115,188.9,79.5
13117,783.5,285.9
13119,84.5,40.4
13121,1748,830
13123,66.3,38.8
13125,21.4,10.6
13127,189.7,97
13129,155.1,62.6
13131,55,23.7
13133,41.3,22.4
13135,1871.2,677.4
13137,155.5,65.6
13139,457.5,175.2
13141,20,11.4
13143,102,43.5
13145,69,28.9
13147,108.5,56
13149,40,17.4
13151,633,237.6
13153,372.5,155.3
13155,26.9,11.4
13157,178.1,69.9
13159,37.8,16.7
13161,45.6,19.6
13163,32.2,13.9
13165,24,12.2
13167,32.9,13.6
13169,72.8,29.7
13171,99.8,40.7
13173,54.4,22.9
13175,60,26.5
13177,79.5,28.9
13179,129.5,54.6
13181,38,22.7
13183,36.1,15.1
13185,220.2,88.5
13187,105.9,45.7
13189,85,36.2
13191,33.8,21.7
13193,36.8,15.3
13195,99.6,41.7
13197,23.9,11.4
13199,43.9,19.9
13201,21.7,9.9
13205,45.9,17.6
13207,66.8,27.1
13209,38.1,16.4
13211,51.4,21.5
13213,115,46.4
13215,877.5,382.1
13217,367.3,140.9
13219,178,67.2
13221,33.9,14.8
13223,455.8,167
13225,184.3,73.5
13227,126.8,59
13229,59.3,25.2
13231,82.7,31.6
13233,133.6,54.5
13235,48.2,20.7
13237,61.6,37.2
13239,16.6,13.5
13241,44,33.3
13243,18,9.7
13245,618.4,266.2
13247,656.5,256.3
13249,30,13.2
13251,22.6,10.4
13253,37.1,20.4
13255,326.1,136.3
13257,146.1,70.7
13259,13.2,5.2
13261,68,28.8
13263,17.5,8.7
13265,8.8,5.2
13267,53.2,20.8
13269,23.6,12.1
13271,37.7,16.7
13273,27.8,12.2
13275,82.1,37
13277,154.9,63.5
13279,74.8,33.4
13281,62.9,46.4
13283,34.5,15
13285,161.9,67.7
13287,31.3,13.5
13289,25.2,11.8
13291,66.3,43.6
13293,84,37.6
13295,154,67.4
13297,257.2,99.6
13299,40.7,18.3
13301,20.5,10.5
13303,31.2,13.3
13305,46.9,19
13307,13.4,7.3
13309,25.1,8.9
13311,112.8,66.7
13313,353.2,137.4
13315,24.5,9.3
13317,22.6,11
13319,21.4,10
13321,38,16.2
15001,45.9,20.4
15003,1586.7,560.8
15005,7.5,9.4
15007,108.2,48.1
15009,133.3,60.6
16001,372.8,151.5
16003,2.9,1.9
16005,74.5,29.8
16007,6.1,4
16009,12,6
16011,21.8,7.7
16013,8.1,5.7
16015,3.7,2.8
16017,23.6,14.2
16019,55.9,21.3
16021,8.6,4.1
16023,1.3,0.6
16025,1,0.8
16027,321.6,118.2
16029,3.9,1.8
16031,8.9,3.3
16033,0.6,0.3
16035,3.6,1.8
16037,0.9,0.6
16039,8.8,4
16041,19.3,6.8
16043,7.1,4.6
16045,29.8,12.7
16047,21.2,8.4
16049,1.9,1
16051,23.9,8
16053,37.5,13.6
16055,111.3,50.8
16057,34.6,14.9
16059,1.7,1
16061,8,3.9
16063,4.3,1.6
16065,80,24
16067,26.5,10.1
16069,46.3,20.6
16071,3.6,1.6
16073,1.5,0.6
16075,55.6,22
16077,5.6,2.1
16079,4.9,2.7
16081,22.6,12.2
16083,40.2,16.2
16085,2.7,3.2
16087,7,3.1
17001,78.5,34.9
17003,35,17
17005,46.7,18.6
17007,193,71.1
17009,22.7,8.1
17011,40.2,18.1
17013,20,11.2
17015,34.6,19
17017,36.3,15.5
17019,201.8,87.9
17021,49.1,21.9
17023,32.6,15.5
17025,29.5,13.7
17027,79.7,32.3
17029,106,46.1
17031,5495.1,2306.5
17033,44.7,19.5
17035,31.9,14.1
17037,166.6,65.1
17039,41.7,18.9
17041,48,20.1
17043,2799.8,1087.6
17045,29.8,14.1
17047,30.2,14.3
17049,71.5,30.4
17051,30.9,13
17053,29,12.9
17055,96.8,45.3
17057,42.8,18.7
17059,17.3,8.5
17061,25.6,11.8
17063,119.8,47.8
17065,19.5,9.4
17067,24.1,11.7
17069,24.3,14
17071,19.3,10.1
17073,61.3,26.9
17075,26.6,12
17077,103.1,48.9
17079,19.6,8.8
17081,68,29.7
17083,62.2,26.7
17085,37.7,22.6
17087,36.6,16.3
17089,990.8,350.1
17091,167.7,66.9
17093,358.2,125.9
17095,73.9,33.6
17097,1585.6,586.7
17099,100.4,44
17101,45.2,18.6
17103,49.7,20.8
17105,37.3,15.2
17107,49,19.6
17109,55.3,24.5
17111,511.9,192.4
17113,143.3,58.9
17115,190.8,86.9
17117,55.4,25
17119,376.3,163.7
17121,68.9,32
17123,32.7,15.3
17125,27.2,13.1
17127,65,30
17129,40.4,18
17131,29.3,13.1
17133,85.6,34.8
17135,42.8,18.6
17137,62.5,27.3
17139,44.2,18.6
17141,70.5,29.7
17143,301.2,134.1
17145,50.6,21.3
17147,38.1,16.6
17149,19.8,9.6
17151,12.1,6.8
17153,30.9,15.8
17155,37.5,19.2
17157,58.2,23.8
17159,45.1,20.9
17161,345,153.8
17163,410.6,176.7
17165,65.6,30.8
17167,227.4,103.5
17169,17.3,7.9
17171,21.3,9.8
17173,29.5,13.7
17175,20.8,9.3
17177,84.5,39.1
17179,208.6,88.6
17181,43.1,19.2
17183,90.9,40.4
17185,53.5,25
17187,32.6,14.2
17189,26.2,11.6
17191,23.5,11.2
17193,29.6,14.5
17195,85.5,37.7
17197,809.6,283.8
17199,157.9,72.3
17201,575.2,245.4
17203,73.3,28.7
18001,101.4,38.4
18003,540.6,231.5
18005,188.7,81.3
18007,21.8,9.7
18009,77.3,36.7
18011,133.9,53.8
18013,48.9,26.6
18015,54.1,25.4
18017,94.5,40
18019,295.6,128.1
18021,75.2,32.7
18023,82,32.9
18025,35.1,18.1
18027,73.7,29
18029,164.1,66.1
18031,69.1,30.1
18033,116.4,48.4
18035,300.1,133.5
18037,98,40.7
18039,426.5,167.9
18041,112.9,50.7
18043,504.1,216.1
18045,43.6,19.9
18047,60.1,24.8
18049,56.6,26.4
18051,68.7,30
18053,169.2,73.5
18055,61.1,28
18057,696.4,270.8
18059,228.8,91.9
18061,81.2,34.1
18063,357.4,136.3
18065,126.2,54.3
18067,282.4,132
18069,97,41.3
18071,83.2,35.7
18073,59.8,23.5
18075,55.4,24
18077,89.9,39.7
18079,75.7,32
18081,435.8,176.8
18083,74.5,33
18085,145.6,69.7
18087,97.8,37.1
18089,994.1,418.4
18091,186.3,81
18093,102.7,46.9
18095,291.3,130.7
18097,2279.6,1054.4
18099,106.1,44.7
18101,30.8,14.3
18103,98.7,41.4
18105,349.7,149.8
18107,75.6,32.8
18109,170.5,68.7
18111,35.5,15
18113,115.7,48.9
18115,71.1,32.3
18117,49.8,23
18119,56,26.2
18121,39,18.2
18123,50.7,22.3
18125,38.4,17.2
18127,393,158.3
18129,63.3,27.4
18131,30.9,14
18133,79,30.6
18135,57.9,26
18137,64.6,26.8
18139,42.6,18.4
18141,583,250.8
18143,127,54.8
18145,108.1,46.4
18147,52.8,22.4
18149,75.6,35.5
18151,110.7,62.7
18153,48,20
18155,48.1,22.5
18157,345.7,142.2
18159,61.2,26.9
18161,46.6,20.1
18163,769.7,355.5
18165,63.1,29.1
18167,267.4,114.1
18169,79.7,34.4
18171,23.3,10.1
18173,155.1,62.9
18175,55,23.8
18177,171.5,77.8
18179,75.1,31.7
18181,48.8,25.7
18183,99.2,42.6
19001,13.5,6.5
19003,9.5,4.7
19005,22.4,11.9
19007,25.9,13.3
19009,13.8,6.7
19011,36.4,15.5
19013,231.7,98.8
19015,46,20.6
19017,55.7,22.8
19019,36.7,15.7
19021,35.2,14.3
19023,25.6,11.5
19025,17,9
19027,36.6,16.5
19029,24.7,11.7
19031,31.9,13.9
19033,77.7,39
19035,20.9,10
19037,24.7,11.3
19039,21.5,9.5
19041,29.4,14.2
19043,23.3,11.6
19045,70.7,31.3
19047,23.9,9.7
19049,112.4,46.3
19051,17.4,7.2
19053,15.9,7.2
19055,30.7,13.9
19057,96.9,44.5
19059,43.8,33.8
19061,154,64
19063,26,12
19065,28.6,13.1
19067,32.6,15
19069,18.4,8.4
19071,14.6,6.7
19073,16.4,8
19075,24.8,11
19077,18.5,9.7
19079,27.2,12.5
19081,19.9,9.3
19083,30.8,14.4
19085,21.4,9.7
19087,46.4,19.1
19089,20.2,9.2
19091,22.6,10.8
19093,16.4,7.9
19095,27.9,12.4
19097,31.2,14.8
19099,50.4,22.2
19101,38.7,17.4
19103,213.1,91.1
19105,35.9,15.5
19107,18.1,8.5
19109,16,7.7
19111,69.3,31.3
19113,294.6,128.7
19115,28.3,12.5
19117,20.7,9.8
19119,19.7,8.2
19121,27.9,11.7
19123,39.2,17.1
19125,60.1,25.1
19127,71,29.4
19129,34.4,14
19131,23,10.3
19133,13.3,6.8
19135,18.4,9
19137,25.3,12.4
19139,97.7,40.9
19141,25.1,11.6
19143,16.2,7.5
19145,29.8,13.4
19147,16.7,8.2
19149,29,12.2
19151,12.7,6.6
19153,750.5,317.6
19155,98,41.4
19157,32.3,15.3
19159,9.6,4.9
19161,18,9.4
19163,360.7,156.8
19165,20.6,9.4
19167,43.9,16
19169,156.3,64.2
19171,24.6,10.8
19173,11.9,5.8
19175,29.6,14
19177,15.6,7.6
19179,82.5,37.3
19181,81.1,32.2
19183,38.2,16.7
19185,12.2,6.1
19187,53.1,23.8
19189,27.1,13
19191,30.5,12.6
19193,117.1,47.5
19195,19,8.9
19197,22.8,11.2
20001,26.7,12.4
20003,14,6.4
20005,39.3,16.2
20007,4.3,2.4
20009,30.9,14.2
20011,23.9,11.3
20013,17.5,8.4
20015,46.1,18.2
20017,3.6,1.9
20019,5.7,3.4
20021,36.8,16.8
20023,2.7,1.5
20025,2.3,1.2
20027,13.2,6.3
20029,13.3,6.5
20031,13.7,6.3
20033,2.4,1.3
20035,32.3,14.2
20037,66.4,30.2
20039,3.3,2
20041,23.3,10.6
20043,20.2,9.1
20045,243.1,102.5
20047,4.9,2.6
20049,4.5,2.7
20051,31.6,14.3
20053,9.1,4.5
20055,28.2,10.2
20057,30.8,10.9
20059,45.5,19.5
20061,89.3,37.7
20063,2.5,1.3
20065,2.9,1.7
20067,13.6,5.1
20069,6.9,2.7
20071,1.6,0.8
20073,5.9,3.6
20075,2.7,1.2
20077,7.5,3.9
20079,64.3,26.9
20081,7.4,2.9
20083,2.2,1.1
20085,20.5,8.8
20087,35.9,15.3
20089,3.4,2.2
20091,1149.6,478.6
20093,4.6,1.8
20095,9.1,4.4
20097,3.5,1.7
20099,33.5,15.6
20101,2.4,1.4
20103,164.7,62
20105,4.5,2.6
20107,16.3,9.2
20109,2.6,1.3
20111,39.8,18
20113,32.5,14.2
20115,13.4,6.3
20117,11.2,5.4
20119,4.7,2
20121,57,22.9
20123,9.1,4.7
20125,55.1,25.8
20127,8.5,4.6
20129,4.4,2
20131,14.2,6.4
20133,28.9,13.1
20135,2.9,1.6
20137,6.5,2.9
20139,23.1,10.6
20141,4.3,2.5
20143,8.5,3.9
20145,9.2,4.2
20147,6.4,3.4
20149,25.7,10.3
20151,13.1,6.1
20153,2.4,1.4
20155,51.4,22.5
20157,6.9,4
20159,13.9,6.3
20161,116.6,46.3
20163,5.8,3.1
20165,4.6,2.6
20167,7.9,4.4
20169,77.2,33.5
20171,6.9,3.1
20173,499.6,212.1
20175,35.9,12.6
20177,327.1,145.5
20179,2.9,1.4
20181,5.7,3
20183,4.3,2.5
20185,5.6,2.9
20187,3.3,1.5
20189,7.9,3.2
20191,20.4,9.2
20193,7.4,3.3
20195,3.4,1.9
20197,8.9,4.1
20199,1.6,0.9
20201,6.5,3.3
20203,3.1,1.5
20205,16.5,8.2
20207,6.6,4.1
20209,1039,440.3
21001,46,21.1
21003,58,27
21005,106.1,45.2
21007,33.4,15.8
21009,86.5,39.4
21011,41.6,19.4
21013,79.9,36.6
21015,482.3,187.3
21017,69,30.8
21019,309.9,136.4
21021,157.8,68.3
21023,41.3,18.7
21025,28.2,12.7
21027,35.4,18.7
21029,250.2,98.7
21031,29.8,13.8
21033,37.7,18.2
21035,96.6,46.9
21037,597,261.2
21039,26.9,12.9
21041,84.1,36.5
21043,67.7,30.1
21045,35.9,16.9
21047,103.1,41.1
21049,141.1,62.2
21051,46.3,18.9
21053,52.1,26.9
21055,25.9,12.7
21057,22.5,12.1
21059,210.9,90.4
21061,40.2,21.4
21063,33.5,14.4
21065,58,27.1
21067,1042.8,476.5
21069,41.2,19
21071,100.3,46.2
21073,237.2,111.5
21075,33.2,16.4
21077,84.8,37.4
21079,73.5,32.4
21081,95.6,38.5
21083,67.3,30.4
21085,51.8,27.3
21087,39.4,18.6
21089,107.2,47.4
21091,45.6,19.9
21093,169.3,69.4
21095,62.9,29
21097,61.5,26.8
21099,44.2,20.8
21101,105.9,46.5
21103,53.9,23.2
21105,20.2,9.7
21107,86.6,39.1
21109,39.1,18.9
21111,1948.1,887.5
21113,282.3,112.3
21115,89.2,40.6
21117,996.7,430.4
21119,46.5,21.2
21121,82.5,37.5
21123,54.3,23.6
21125,135.6,58.6
21127,38.2,17.5
21129,37.8,16.5
21131,28.2,13.2
21133,72.6,34.3
21135,28.7,13.4
21137,74.1,32.4
21139,30.4,15.4
21141,48.6,22.3
21143,38.9,22.4
21145,263.6,124.9
21147,42.9,17.6
21149,37.8,16.9
21151,189.6,80.1
21153,43.2,19.3
21155,57.8,23.9
21157,104.4,52.3
21159,56.3,22.5
21161,72.8,33.8
21163,93.6,38.5
21165,31,18.4
21167,85.7,40
21169,34.9,16.2
21171,33.3,15.8
21173,134.3,59.3
21175,36.5,15.3
21177,67.4,29.3
21179,104,43.3
21181,36.6,16.7
21183,40.6,17.4
21185,322.2,110.5
21187,30.9,16
21189,24.1,11.8
21191,53.7,22.9
21193,84.5,37.7
21195,82.6,38.5
21197,70.5,31.3
21199,95.8,47.8
