,county,state,cases,deaths,POP_ESTIMATE_2018,total_state_pop,Active.Physicians.per.100.000.Population..2018..AAMC.,Total.Active.Patient.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.Primary.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.Patient.Care.Primary.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.General.Surgeons.per.100.000.Population..2018..AAMC.,Active.Patient.Care.General.Surgeons.per.100.000.Population..2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.Female..2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.International.Medical.Graduates..IMGs...2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.Age.60.or.Older..2018..AAMC.,MD.and.DO.Student.Enrollment.per.100.000.Population..AY.2018.2019..AAMC.,Student.Enrollment.at.Public.MD.and.DO.Schools.per.100.000.Population..AY.2018.2019..AAMC.,Percentage.Change.in.Student.Enrollment.at.MD.and.DO.Schools..2008.2018..AAMC.,Percentage.of.MD.Students.Matriculating.In.State..AY.2018.2019..AAMC.,Total.Residents.Fellows.in.ACGME.Programs.per.100.000.Population.as.of.December.31..2018..AAMC.,Total.Residents.Fellows.in.Primary.Care.ACGME.Programs.per.100.000.Population.as.of.Dec..31..2018..AAMC.,Percentage.of.Residents.in.ACGME.Programs.Who.Are.IMGs.as.of.December.31..2018..AAMC.,Ratio.of.Residents.and.Fellows..GME..to.Medical.Students..UME...AY.2017.2018..AAMC.,Percent.Change.in.Residents.and.Fellows.in.ACGME.Accredited.Programs..2008.2018..AAMC.,Percentage.of.Physicians.Retained.in.State.from.Undergraduate.Medical.Education..UME...2018..AAMC.,All.Specialties..AAMC.,State.Local.Government.hospital.beds.per.1000.people..2019.,Non.profit.hospital.beds.per.1000.people..2019.,For.profit.hospital.beds.per.1000.people..2019.,Total.hospital.beds.per.1000.people..2019.,Total.nurse.practitioners..2019.,Total.physician.assistants..2019.,Total.Hospitals..2019.,Total.Primary.Care.Physicians..2019.,Surgery.specialists..2019.,Emergency.Medicine.specialists..2019.,Total.Specialist.Physicians..2019.,ICU.Beds,pop_fraction,Length.of.Life.rank,Quality.of.Life.rank,Health.Behaviors.rank,Clinical.Care.rank,Social...Economic.Factors.rank,Physical.Environment.rank,Adult.smoking.percentage,Adult.obesity.percentage,Excessive.drinking.percentage,Population.per.sq.mile,House.per.sq.mile,Share.of.Tests.with.Positive.COVID.19.Results,Number.of.Tests.with.Results.per.1.000.Population
541,Camas,Idaho,0.8873114463176575,0.0,1127.0,3508416.0,192.6,181.6,73.9,68.9,5.8,5.5,26.3,5.5,29.4,9.2,23.496392711045306,44.53799567411594,69.85761183261238,8.0,8.0,11.3,0.7,182.0,40.9897776183638,1.9262253966282163,0.4,1.1,0.4,1.9,0.39219978438331854,0.3522957364685005,0.025652602484472046,0.9217835057675242,0.08493861579414375,0.09747988819875777,0.7952306681455191,0.0,0.000321228,46.90747826086957,47.57217391304348,48.40382608695652,46.808,47.648,49.479652173913045,15.0,25.0,14.0,1.0,0.8,0.069216,18.5
542,Canyon,Idaho,1.2304305612105646,0.026845757699139595,223499.0,3508416.0,192.6,181.6,73.9,68.9,5.8,5.5,26.3,5.5,29.4,9.2,23.496392711045306,44.53799567411594,69.85761183261238,8.0,8.0,11.3,0.7,182.0,40.9897776183638,1.9262253960867832,0.4,1.1,0.4,1.9,0.39219978474176614,0.3522957368936773,0.025652602199562415,0.9217835055190403,0.08493861619067648,0.0974798883663909,0.7952306681461662,0.18344601094412055,0.063703677,13.0,24.0,29.0,23.0,21.0,41.0,14.0,35.0,15.0,321.6,118.2,0.069216,18.5
543,Caribou,Idaho,0.141643059490085,0.0,7060.0,3508416.0,192.6,181.6,73.9,68.9,5.8,5.5,26.3,5.5,29.4,9.2,23.496392711045306,44.53799567411594,69.85761183261238,8.0,8.0,11.3,0.7,182.0,40.9897776183638,1.9262253966005667,0.4,1.1,0.4,1.9,0.39219978470254957,0.3522957368271954,0.025652602266288953,0.9217835056657223,0.08493861614730877,0.09747988838526912,0.7952306681303117,0.0,0.002012304,15.0,17.0,6.0,16.0,5.0,2.0,13.0,30.0,16.0,3.9,1.8,0.069216,18.5
544,Cassia,Idaho,0.670465973851827,0.04190412336573919,23864.0,3508416.0,192.6,181.6,73.9,68.9,5.8,5.5,26.3,5.5,29.4,9.2,23.496392711045306,44.53799567411594,69.85761183261238,8.0,8.0,11.3,0.7,182.0,40.9897776183638,1.926225396413007,0.4,1.1,0.4,1.9,0.3921997847385183,0.35229573688400934,0.025652602204156886,0.9217835056989607,0.08493861615822997,0.09747988836741533,0.7952306683707676,0.2514247401944351,0.00680193,33.0,14.0,24.0,26.0,17.0,21.0,14.0,38.0,16.0,8.9,3.3,0.069216,18.5
545,Custer,Idaho,0.4672897196261682,0.0,4280.0,3508416.0,192.6,181.6,73.9,68.9,5.8,5.5,26.3,5.5,29.4,9.2,23.496392711045306,44.53799567411594,69.85761183261238,8.0,8.0,11.3,0.7,182.0,40.9897776183638,1.9262253962616827,0.4,1.1,0.4,1.9,0.39219978481308415,0.35229573691588784,0.025652602102803738,0.9217835056074766,0.08493861612149535,0.09747988831775702,0.7952306682242991,0.0,0.0012199239999999998,16.0,31.0,16.0,19.0,30.0,1.0,14.0,28.0,15.0,0.9,0.6,0.069216,18.5
546,Elmore,Idaho,1.137239077002091,0.07337026303239297,27259.0,3508416.0,192.6,181.6,73.9,68.9,5.8,5.5,26.3,5.5,29.4,9.2,23.496392711045306,44.53799567411594,69.85761183261238,8.0,8.0,11.3,0.7,182.0,40.9897776183638,1.926225396382846,0.4,1.1,0.4,1.9,0.392199784658278,0.35229573689423677,0.025652602186433837,0.9217835056311677,0.08493861616346897,0.09747988836714479,0.7952306680362449,0.0,0.007769603000000001,14.0,26.0,42.0,34.0,22.0,31.0,16.0,35.0,17.0,8.8,4.0,0.069216,18.5
547,Fremont,Idaho,0.2278250303766707,0.0,13168.0,3508416.0,192.6,181.6,73.9,68.9,5.8,5.5,26.3,5.5,29.4,9.2,23.496392711045306,44.53799567411594,69.85761183261238,8.0,8.0,11.3,0.7,182.0,40.9897776183638,1.926225396415553,0.4,1.1,0.4,1.9,0.39219978478128803,0.35229573686209,0.025652602217496965,0.9217835054678006,0.0849386161907655,0.09747988836573512,0.7952306682867557,0.0,0.003753261,6.0,18.0,13.0,22.0,15.0,26.0,14.0,30.0,16.0,7.1,4.6,0.069216,18.5
548,Gem,Idaho,0.9073380968583419,0.0,17634.0,3508416.0,192.6,181.6,73.9,68.9,5.8,5.5,26.3,5.5,29.4,9.2,23.496392711045306,44.53799567411594,69.85761183261238,8.0,8.0,11.3,0.7,182.0,40.9897776183638,1.926225396393331,0.4,1.1,0.4,1.9,0.3921997847340365,0.35229573687195187,0.025652602188953162,0.9217835057275716,0.08493861619598504,0.09747988834070545,0.7952306680276737,0.0,0.0050262,25.0,39.0,30.0,13.0,34.0,28.0,14.0,38.0,14.0,29.8,12.7,0.069216,18.5
549,Gooding,Idaho,1.3819426164780206,0.0,15196.0,3508416.0,192.6,181.6,73.9,68.9,5.8,5.5,26.3,5.5,29.4,9.2,23.496392711045306,44.53799567411594,69.85761183261238,8.0,8.0,11.3,0.7,182.0,40.9897776183638,1.9262253961568834,0.4,1.1,0.4,1.9,0.39219978474598577,0.3522957369044485,0.025652602197946826,0.9217835055277704,0.08493861614898657,0.09747988839168202,0.7952306679389312,0.0,0.004331299,38.0,34.0,31.0,42.0,26.0,30.0,15.0,34.0,16.0,21.2,8.4,0.069216,18.5
550,Idaho,Idaho,0.18167504390480227,0.0,16513.0,3508416.0,192.6,181.6,73.9,68.9,5.8,5.5,26.3,5.5,29.4,9.2,23.496392711045306,44.53799567411594,69.85761183261238,8.0,8.0,11.3,0.7,182.0,40.9897776183638,1.9262253963543874,0.4,1.1,0.4,1.9,0.39219978477563133,0.352295736873978,0.025652602192212198,0.9217835057227639,0.08493861618119057,0.09747988833040634,0.7952306679585781,0.0,0.004706682,31.0,19.0,19.0,40.0,37.0,20.0,14.0,32.0,15.0,1.9,1.0,0.069216,18.5
551,Jefferson,Idaho,0.169842725636061,0.0,29439.0,3508416.0,192.6,181.6,73.9,68.9,5.8,5.5,26.3,5.5,29.4,9.2,23.496392711045306,44.53799567411594,69.85761183261238,8.0,8.0,11.3,0.7,182.0,40.9897776183638,1.9262253962430786,0.4,1.1,0.4,1.9,0.3921997846394239,0.3522957369475865,0.025652602194368015,0.9217835055538571,0.0849386161894086,0.09747988834539217,0.7952306681612826,0.0,0.008390966,8.0,9.0,11.0,17.0,2.0,23.0,13.0,32.0,16.0,23.9,8.0,0.069216,18.5
552,Jerome,Idaho,3.4978138663335416,0.08328128253175099,24015.0,3508416.0,192.6,181.6,73.9,68.9,5.8,5.5,26.3,5.5,29.4,9.2,23.496392711045306,44.53799567411594,69.85761183261238,8.0,8.0,11.3,0.7,182.0,40.9897776183638,1.9262253962107019,0.4,1.1,0.4,1.9,0.3921997847595253,0.35229573687278787,0.025652602206953992,0.9217835057255882,0.08493861615656881,0.09747988836144078,0.7952306683322923,0.0,0.006844969,24.0,32.0,37.0,38.0,29.0,17.0,15.0,32.0,15.0,37.5,13.6,0.069216,18.5
553,Kootenai,Idaho,0.39627256122101484,0.0,161505.0,3508416.0,192.6,181.6,73.9,68.9,5.8,5.5,26.3,5.5,29.4,9.2,23.496392711045306,44.53799567411594,69.85761183261238,8.0,8.0,11.3,0.7,182.0,40.9897776183638,1.9262253961177676,0.4,1.1,0.4,1.9,0.3921997847744652,0.35229573685025234,0.025652602198074363,0.9217835057738151,0.08493861620383271,0.0974798883625894,0.795230668400359,0.3405467322993096,0.046033595,10.0,7.0,23.0,4.0,10.0,42.0,14.0,26.0,20.0,111.3,50.8,0.069216,18.5
554,Latah,Idaho,0.14949917775452234,0.0,40134.0,3508416.0,192.6,181.6,73.9,68.9,5.8,5.5,26.3,5.5,29.4,9.2,23.496392711045306,44.53799567411594,69.85761183261238,8.0,8.0,11.3,0.7,182.0,40.9897776183638,1.9262253964219866,0.4,1.1,0.4,1.9,0.39219978472118405,0.352295736781781,0.025652602207604527,0.9217835057557184,0.08493861616086112,0.09747988834903074,0.7952306682613246,0.0,0.01143935,7.0,6.0,14.0,3.0,3.0,35.0,14.0,24.0,21.0,34.6,14.9,0.069216,18.5
555,Lemhi,Idaho,0.12561236025624922,0.0,7961.0,3508416.0,192.6,181.6,73.9,68.9,5.8,5.5,26.3,5.5,29.4,9.2,23.496392711045306,44.53799567411594,69.85761183261238,8.0,8.0,11.3,0.7,182.0,40.9897776183638,1.9262253963069966,0.4,1.1,0.4,1.9,0.3921997847004145,0.35229573684210536,0.02565260218565507,0.9217835057153623,0.08493861612862706,0.09747988833061173,0.7952306682577566,0.0,0.002269115,34.0,28.0,28.0,15.0,38.0,13.0,15.0,24.0,13.0,1.7,1.0,0.069216,18.5
556,Lincoln,Idaho,5.41044776119403,0.0,5360.0,3508416.0,192.6,181.6,73.9,68.9,5.8,5.5,26.3,5.5,29.4,9.2,23.496392711045306,44.53799567411594,69.85761183261238,8.0,8.0,11.3,0.7,182.0,40.9897776183638,1.926225395522388,0.4,1.1,0.4,1.9,0.3921997847014925,0.35229573694029853,0.02565260223880597,0.921783505783582,0.08493861623134327,0.09747988843283582,0.795230668283582,0.0,0.001527755,11.0,20.0,38.0,39.0,31.0,7.0,15.0,29.0,16.0,4.3,1.6,0.069216,18.5
557,Madison,Idaho,0.4834113576226338,0.0,39304.0,3508416.0,192.6,181.6,73.9,68.9,5.8,5.5,26.3,5.5,29.4,9.2,23.496392711045306,44.53799567411594,69.85761183261238,8.0,8.0,11.3,0.7,182.0,40.9897776183638,1.9262253963973135,0.4,1.1,0.4,1.9,0.39219978475473233,0.35229573682067983,0.025652602203338086,0.9217835057500509,0.08493861617138204,0.09747988835741908,0.7952306681253816,0.1017708121310808,0.011202776000000001,1.0,36.0,18.0,8.0,4.0,29.0,15.0,27.0,16.0,80.0,24.0,0.069216,18.5
558,Minidoka,Idaho,0.6242496998799519,0.0,20825.0,3508416.0,192.6,181.6,73.9,68.9,5.8,5.5,26.3,5.5,29.4,9.2,23.496392711045306,44.53799567411594,69.85761183261238,8.0,8.0,11.3,0.7,182.0,40.9897776183638,1.9262253963985592,0.4,1.1,0.4,1.9,0.392199784729892,0.3522957369027611,0.025652602208883556,0.921783505882353,0.08493861618247299,0.09747988835534213,0.795230668427371,0.0,0.005935726999999999,28.0,40.0,25.0,37.0,25.0,12.0,14.0,34.0,15.0,26.5,10.1,0.069216,18.5
559,Nez Perce,Idaho,1.955058404276381,0.47020392001583844,40408.0,3508416.0,192.6,181.6,73.9,68.9,5.8,5.5,26.3,5.5,29.4,9.2,23.496392711045306,44.53799567411594,69.85761183261238,8.0,8.0,11.3,0.7,182.0,40.9897776183638,1.9262253962086713,0.4,1.1,0.4,1.9,0.3921997846960998,0.35229573698277566,0.025652602207483673,0.9217835057414372,0.0849386161651158,0.09747988836369034,0.7952306681845178,0.22272817263908137,0.011517448000000001,23.0,13.0,36.0,9.0,14.0,36.0,15.0,31.0,20.0,46.3,20.6,0.069216,18.5
560,Owyhee,Idaho,0.6841700162490378,0.0,11693.0,3508416.0,192.6,181.6,73.9,68.9,5.8,5.5,26.3,5.5,29.4,9.2,23.496392711045306,44.53799567411594,69.85761183261238,8.0,8.0,11.3,0.7,182.0,40.9897776183638,1.9262253963910032,0.4,1.1,0.4,1.9,0.39219978474300865,0.35229573685110754,0.025652602240656804,0.9217835055161208,0.08493861618062089,0.09747988839476608,0.7952306681775422,0.0,0.003332843,42.0,42.0,41.0,41.0,32.0,14.0,16.0,39.0,14.0,1.5,0.6,0.069216,18.5
561,Payette,Idaho,0.7218377138974991,0.08492208398794106,23551.0,3508416.0,192.6,181.6,73.9,68.9,5.8,5.5,26.3,5.5,29.4,9.2,23.496392711045306,44.53799567411594,69.85761183261238,8.0,8.0,11.3,0.7,182.0,40.9897776183638,1.9262253963738272,0.4,1.1,0.4,1.9,0.3921997847649781,0.35229573686892274,0.025652602182497555,0.9217835055836269,0.08493861615218039,0.0974798883699206,0.795230668336801,0.0,0.006712716,36.0,23.0,34.0,10.0,20.0,37.0,15.0,35.0,15.0,55.6,22.0,0.069216,18.5
562,Power,Idaho,0.3861997940267765,0.0,7768.0,3508416.0,192.6,181.6,73.9,68.9,5.8,5.5,26.3,5.5,29.4,9.2,23.496392711045306,44.53799567411594,69.85761183261238,8.0,8.0,11.3,0.7,182.0,40.9897776183638,1.926225396498455,0.4,1.1,0.4,1.9,0.3921997847579815,0.352295736869207,0.02565260221421215,0.9217835056642638,0.08493861611740475,0.09747988838825952,0.7952306682543769,0.0,0.002214105,30.0,25.0,35.0,28.0,16.0,16.0,15.0,36.0,16.0,5.6,2.1,0.069216,18.5
563,Teton,Idaho,0.9450171821305842,0.0,11640.0,3508416.0,192.6,181.6,73.9,68.9,5.8,5.5,26.3,5.5,29.4,9.2,23.496392711045306,44.53799567411594,69.85761183261238,8.0,8.0,11.3,0.7,182.0,40.9897776183638,1.9262253960481102,0.4,1.1,0.4,1.9,0.3921997847079038,0.3522957368556701,0.025652602233676977,0.9217835060137458,0.08493861615120274,0.09747988840206186,0.7952306682130584,0.0,0.0033177370000000003,2.0,10.0,4.0,32.0,1.0,6.0,13.0,21.0,19.0,22.6,12.2,0.069216,18.5
564,Twin Falls,Idaho,3.345686039892659,0.1277866195792335,86081.0,3508416.0,192.6,181.6,73.9,68.9,5.8,5.5,26.3,5.5,29.4,9.2,23.496392711045306,44.53799567411594,69.85761183261238,8.0,8.0,11.3,0.7,182.0,40.9897776183638,1.9262253958480966,0.4,1.1,0.4,1.9,0.39219978473763084,0.3522957369222012,0.025652602200253248,0.9217835057678232,0.08493861617546264,0.09747988836096234,0.7952306682078508,0.3485089624888187,0.024535573999999997,27.0,16.0,22.0,11.0,19.0,34.0,14.0,33.0,14.0,40.2,16.2,0.069216,18.5
565,Valley,Idaho,0.18114301240829636,0.0,11041.0,3508416.0,192.6,181.6,73.9,68.9,5.8,5.5,26.3,5.5,29.4,9.2,23.496392711045306,44.53799567411594,69.85761183261238,8.0,8.0,11.3,0.7,182.0,40.9897776183638,1.9262253962503397,0.4,1.1,0.4,1.9,0.3921997847115298,0.3522957368897745,0.025652602209944753,0.9217835060230051,0.0849386161579567,0.09747988832533284,0.7952306682365728,0.0,0.003147004,4.0,1.0,1.0,2.0,18.0,33.0,12.0,28.0,17.0,2.7,3.2,0.069216,18.5
566,Washington,Idaho,0.9841551028442083,0.0,10161.0,3508416.0,192.6,181.6,73.9,68.9,5.8,5.5,26.3,5.5,29.4,9.2,23.496392711045306,44.53799567411594,69.85761183261238,8.0,8.0,11.3,0.7,182.0,40.9897776183638,1.926225396122429,0.4,1.1,0.4,1.9,0.392199784765279,0.3522957368369255,0.025652602204507435,0.9217835057573075,0.08493861617950989,0.09747988839681133,0.7952306682413148,0.0,0.002896179,9.0,37.0,33.0,30.0,33.0,9.0,15.0,35.0,14.0,7.0,3.1,0.069216,18.5
567,Adams,Illinois,0.624134204076662,0.015222785465284439,65691.0,25482160.0,284.4,240.5,99.6,87.2,7.0,5.8,38.7,30.7,30.4,44.7,13.4,2.5,62.6,49.1,19.8,25.9,1.2,7.1,30.9,2.8443428658415915,0.1,2.2,0.2,2.5,0.3895274183678129,0.19558781522583002,0.014676934770364282,1.7261488042502013,0.16113233730648036,0.20767470262288595,1.6783506583854715,0.38056963663211096,0.002577921,42.0,53.0,66.0,12.0,24.0,38.0,15.0,37.0,20.0,78.5,34.9,0.17307899999999998,38.6
568,Alexander,Illinois,1.3201320132013201,0.0,6060.0,25482160.0,284.4,240.5,99.6,87.2,7.0,5.8,38.7,30.7,30.4,44.7,13.4,2.5,62.6,49.1,19.8,25.9,1.2,7.1,30.9,2.8443428663366337,0.1,2.2,0.2,2.5,0.38952741831683174,0.19558781518151816,0.014676934818481847,1.7261488036303632,0.1611323372937294,0.20767470264026405,1.6783506584158416,0.0,0.000237813,95.0,101.0,101.0,72.0,102.0,85.0,22.0,26.0,15.0,35.0,17.0,0.17307899999999998,38.6
569,Bond,Illinois,0.6013229104028863,0.06013229104028864,16630.0,25482160.0,284.4,240.5,99.6,87.2,7.0,5.8,38.7,30.7,30.4,44.7,13.4,2.5,62.6,49.1,19.8,25.9,1.2,7.1,30.9,2.8443428659049905,0.1,2.2,0.2,2.5,0.38952741840048105,0.19558781515333737,0.01467693475646422,1.7261488039687312,0.16113233728202045,0.20767470258568851,1.678350657847264,0.0,0.000652613,47.0,76.0,46.0,42.0,34.0,19.0,17.0,26.0,20.0,46.7,18.6,0.17307899999999998,38.6
570,Boone,Illinois,4.722175560408385,0.24264143195774307,53577.0,25482160.0,284.4,240.5,99.6,87.2,7.0,5.8,38.7,30.7,30.4,44.7,13.4,2.5,62.6,49.1,19.8,25.9,1.2,7.1,30.9,2.844342865408664,0.1,2.2,0.2,2.5,0.38952741848181127,0.19558781510722886,0.014676934766784257,1.7261488037777406,0.16113233729025517,0.20767470257759857,1.678350657931575,0.0,0.00210253,16.0,30.0,33.0,77.0,54.0,61.0,15.0,33.0,20.0,193.0,71.1,0.17307899999999998,38.6
571,Brown,Illinois,1.3727882855399633,0.0,6556.0,25482160.0,284.4,240.5,99.6,87.2,7.0,5.8,38.7,30.7,30.4,44.7,13.4,2.5,62.6,49.1,19.8,25.9,1.2,7.1,30.9,2.844342866076876,0.1,2.2,0.2,2.5,0.38952741839536303,0.19558781513117754,0.014676934716290422,1.7261488041488713,0.16113233724832215,0.20767470256253812,1.678350657413057,0.0,0.000257278,9.0,18.0,42.0,25.0,12.0,2.0,17.0,23.0,23.0,22.7,8.1,0.17307899999999998,38.6
572,Bureau,Illinois,0.4546418937350347,0.030309459582335645,32993.0,25482160.0,284.4,240.5,99.6,87.2,7.0,5.8,38.7,30.7,30.4,44.7,13.4,2.5,62.6,49.1,19.8,25.9,1.2,7.1,30.9,2.8443428657594034,0.1,2.2,0.2,2.5,0.3895274185433274,0.19558781517291546,0.014676934774042976,1.7261488036856303,0.16113233728366622,0.2076747026035826,1.6783506580183676,0.2727851362410208,0.001294749,45.0,23.0,22.0,24.0,62.0,25.0,15.0,27.0,20.0,40.2,18.1,0.17307899999999998,38.6
573,Calhoun,Illinois,0.20824656393169513,0.0,4802.0,25482160.0,284.4,240.5,99.6,87.2,7.0,5.8,38.7,30.7,30.4,44.7,13.4,2.5,62.6,49.1,19.8,25.9,1.2,7.1,30.9,2.84434286547272,0.1,2.2,0.2,2.5,0.38952741836734694,0.19558781507705125,0.01467693481882549,1.7261488036234904,0.16113233735943358,0.20767470262390672,1.6783506578508953,0.0,0.000188446,56.0,14.0,18.0,63.0,55.0,13.0,15.0,36.0,20.0,20.0,11.2,0.17307899999999998,38.6
574,Carroll,Illinois,0.8384572386808273,0.13974287311347122,14312.0,25482160.0,284.4,240.5,99.6,87.2,7.0,5.8,38.7,30.7,30.4,44.7,13.4,2.5,62.6,49.1,19.8,25.9,1.2,7.1,30.9,2.8443428654276133,0.1,2.2,0.2,2.5,0.38952741839016214,0.19558781519005033,0.014676934740078256,1.7261488038010062,0.16113233726942425,0.207674702627166,1.6783506581889323,0.0,0.000561648,24.0,9.0,11.0,74.0,28.0,57.0,14.0,25.0,19.0,34.6,19.0,0.17307899999999998,38.6
575,Cass,Illinois,5.057096247960848,0.0,12260.0,25482160.0,284.4,240.5,99.6,87.2,7.0,5.8,38.7,30.7,30.4,44.7,13.4,2.5,62.6,49.1,19.8,25.9,1.2,7.1,30.9,2.844342865415987,0.1,2.2,0.2,2.5,0.38952741843393146,0.19558781517128873,0.014676934747145189,1.726148803425775,0.16113233727569332,0.20767470261011423,1.6783506582381729,0.0,0.000481121,46.0,78.0,75.0,96.0,71.0,5.0,16.0,35.0,20.0,36.3,15.5,0.17307899999999998,38.6
576,Champaign,Illinois,1.5144083092440817,0.028573741683850597,209983.0,25482160.0,284.4,240.5,99.6,87.2,7.0,5.8,38.7,30.7,30.4,44.7,13.4,2.5,62.6,49.1,19.8,25.9,1.2,7.1,30.9,2.8443428658510452,0.1,2.2,0.2,2.5,0.3895274184100617,0.19558781515646506,0.014676934766147736,1.726148803474567,0.16113233728444684,0.2076747026187834,1.6783506579104024,0.24287680431273007,0.008240392,14.0,74.0,60.0,18.0,41.0,71.0,16.0,31.0,21.0,201.8,87.9,0.17307899999999998,38.6
577,Christian,Illinois,0.918526683200147,0.15308778053335784,32661.0,25482160.0,284.4,240.5,99.6,87.2,7.0,5.8,38.7,30.7,30.4,44.7,13.4,2.5,62.6,49.1,19.8,25.9,1.2,7.1,30.9,2.844342865803252,0.1,2.2,0.2,2.5,0.3895274183276691,0.1955878151618138,0.014676934753987935,1.7261488037720831,0.16113233728299808,0.20767470261167756,1.6783506579712808,0.0,0.00128172,48.0,62.0,55.0,75.0,67.0,17.0,16.0,29.0,20.0,49.1,21.9,0.17307899999999998,38.6
578,Clark,Illinois,0.5129520389843549,0.0,15596.0,25482160.0,284.4,240.5,99.6,87.2,7.0,5.8,38.7,30.7,30.4,44.7,13.4,2.5,62.6,49.1,19.8,25.9,1.2,7.1,30.9,2.844342865478328,0.1,2.2,0.2,2.5,0.3895274183765068,0.19558781514490894,0.014676934790972044,1.726148803539369,0.16113233726596563,0.2076747026160554,1.6783506578609901,0.0,0.0006120359999999999,53.0,75.0,70.0,92.0,40.0,12.0,16.0,37.0,20.0,32.6,15.5,0.17307899999999998,38.6
579,Clay,Illinois,0.15090922809929827,0.0,13253.0,25482160.0,284.4,240.5,99.6,87.2,7.0,5.8,38.7,30.7,30.4,44.7,13.4,2.5,62.6,49.1,19.8,25.9,1.2,7.1,30.9,2.8443428657662415,0.1,2.2,0.2,2.5,0.3895274183958349,0.19558781513619558,0.01467693473175885,1.7261488040443675,0.16113233728212478,0.207674702633366,1.6783506579642347,0.0,0.0005200890000000001,55.0,52.0,54.0,30.0,68.0,29.0,16.0,24.0,20.0,29.5,13.7,0.17307899999999998,38.6
580,Clinton,Illinois,3.772682589866893,0.34538643428358884,37639.0,25482160.0,284.4,240.5,99.6,87.2,7.0,5.8,38.7,30.7,30.4,44.7,13.4,2.5,62.6,49.1,19.8,25.9,1.2,7.1,30.9,2.8443428651133127,0.1,2.2,0.2,2.5,0.3895274183692447,0.19558781516512128,0.014676934775100292,1.726148803634528,0.16113233728313717,0.20767470262228008,1.6783506578283165,0.10627274901033502,0.001477073,17.0,7.0,48.0,10.0,13.0,45.0,15.0,39.0,23.0,79.7,32.3,0.17307899999999998,38.6
581,Coles,Illinois,1.2184337231011104,0.03930431364842291,50885.0,25482160.0,284.4,240.5,99.6,87.2,7.0,5.8,38.7,30.7,30.4,44.7,13.4,2.5,62.6,49.1,19.8,25.9,1.2,7.1,30.9,2.8443428652844647,0.1,2.2,0.2,2.5,0.3895274184926796,0.19558781517146506,0.0146769347744915,1.726148803773214,0.16113233728996756,0.2076747025646065,1.6783506579542105,0.1768694114179031,0.001996887,30.0,89.0,98.0,81.0,49.0,18.0,19.0,37.0,20.0,106.0,46.1,0.17307899999999998,38.6
582,Cook,Illinois,10.888152922897493,0.4997593858345142,5180493.0,25482160.0,284.4,240.5,99.6,87.2,7.0,5.8,38.7,30.7,30.4,44.7,13.4,2.5,62.6,49.1,19.8,25.9,1.2,7.1,30.9,2.844342866595901,0.1,2.2,0.2,2.5,0.38952741833644017,0.1955878150979067,0.014676934764702896,1.7261488037914539,0.16113233728913445,0.20767470258139523,1.6783506579393117,0.3100091053110196,0.20329881800000002,37.0,59.0,23.0,84.0,53.0,102.0,14.0,28.0,22.0,5495.1,2306.5,0.17307899999999998,38.6
583,Crawford,Illinois,0.5848886053065347,0.0,18807.0,25482160.0,284.4,240.5,99.6,87.2,7.0,5.8,38.7,30.7,30.4,44.7,13.4,2.5,62.6,49.1,19.8,25.9,1.2,7.1,30.9,2.844342865954166,0.1,2.2,0.2,2.5,0.3895274184080395,0.1955878151752007,0.01467693475833466,1.7261488036369437,0.16113233726803847,0.20767470261073004,1.6783506577338225,0.0,0.000738046,28.0,51.0,44.0,11.0,58.0,26.0,16.0,28.0,21.0,44.7,19.5,0.17307899999999998,38.6
584,Cumberland,Illinois,0.6476683937823834,0.0,10808.0,25482160.0,284.4,240.5,99.6,87.2,7.0,5.8,38.7,30.7,30.4,44.7,13.4,2.5,62.6,49.1,19.8,25.9,1.2,7.1,30.9,2.844342865470022,0.1,2.2,0.2,2.5,0.3895274183937824,0.1955878151369356,0.01467693477054034,1.7261488036639527,0.16113233725018503,0.2076747026276832,1.6783506578460399,0.0,0.00042414,22.0,46.0,56.0,93.0,27.0,49.0,16.0,33.0,20.0,31.9,14.1,0.17307899999999998,38.6
585,De Witt,Illinois,0.19024668653687615,0.0,15769.0,25482160.0,284.4,240.5,99.6,87.2,7.0,5.8,38.7,30.7,30.4,44.7,13.4,2.5,62.6,49.1,19.8,25.9,1.2,7.1,30.9,2.8443428657492547,0.1,2.2,0.2,2.5,0.3895274184158793,0.19558781514363624,0.014676934745386516,1.7261488039824973,0.16113233730737522,0.20767470264442897,1.6783506576193796,0.0,0.000618825,70.0,35.0,24.0,35.0,44.0,33.0,15.0,28.0,20.0,41.7,18.9,0.17307899999999998,38.6
586,DeKalb,Illinois,2.0260603209049095,0.019204363231326158,104143.0,25482160.0,284.4,240.5,99.6,87.2,7.0,5.8,38.7,30.7,30.4,44.7,13.4,2.5,62.6,49.1,19.8,25.9,1.2,7.1,30.9,2.844342866059169,0.1,2.2,0.2,2.5,0.38952741835745075,0.1955878151195952,0.014676934762778102,1.7261488040482798,0.16113233726702703,0.20767470257242443,1.6783506582295498,0.15363490585060927,0.004086898,10.0,64.0,74.0,59.0,22.0,90.0,16.0,32.0,23.0,166.6,65.1,0.17307899999999998,38.6
